기상셀ID,기후지형유형,품질검토대상,데이터,K,Cluster
YS_0011,고지·산간형,False,전체,3,0
YS_0012,영서 내륙형,False,전체,3,1
YS_0013,고지·산간형,False,전체,3,1
YS_0014,영서 내륙형,False,전체,3,1
YS_0015,영서 내륙형,False,전체,3,1
YS_0016,고지·산간형,False,전체,3,0
YS_0017,영서 내륙형,False,전체,3,1
YS_0018,영서 내륙형,False,전체,3,1
YS_0019,고지·산간형,False,전체,3,1
YS_0020,고지·산간형,False,전체,3,1
YS_0021,고지·산간형,False,전체,3,1
YS_0022,영서 내륙형,False,전체,3,1
YS_0023,영서 내륙형,False,전체,3,1
YS_0024,영서 내륙형,False,전체,3,1
YS_0025,고지·산간형,False,전체,3,1
YS_0026,영서 내륙형,False,전체,3,1
YS_0027,고지·산간형,False,전체,3,1
YS_0028,영서 내륙형,False,전체,3,1
YS_0029,영서 내륙형,False,전체,3,0
YS_0030,영서 내륙형,False,전체,3,1
YS_0031,고지·산간형,False,전체,3,1
YS_0032,고지·산간형,False,전체,3,0
YS_0033,고지·산간형,False,전체,3,1
YS_0034,영서 내륙형,False,전체,3,1
YS_0035,고지·산간형,False,전체,3,0
YS_0036,고지·산간형,False,전체,3,0
YS_0037,영서 내륙형,False,전체,3,1
YS_0038,영서 내륙형,False,전체,3,1
YS_0039,고지·산간형,False,전체,3,0
YS_0040,영서 내륙형,False,전체,3,1
YS_0041,고지·산간형,False,전체,3,0
YS_0042,영서 내륙형,False,전체,3,1
YS_0043,영서 내륙형,False,전체,3,1
YS_0044,영서 내륙형,False,전체,3,1
YS_0045,영서 내륙형,False,전체,3,0
YS_0046,영서 내륙형,False,전체,3,1
YS_0047,고지·산간형,False,전체,3,0
YS_0048,고지·산간형,False,전체,3,0
YS_0049,고지·산간형,False,전체,3,1
YS_0050,영서 내륙형,False,전체,3,1
YS_0051,영서 내륙형,False,전체,3,1
YS_0052,영서 내륙형,False,전체,3,1
YS_0053,고지·산간형,False,전체,3,1
YS_0054,영서 내륙형,False,전체,3,1
YS_0055,고지·산간형,False,전체,3,0
YS_0056,고지·산간형,False,전체,3,1
YS_0057,영서 내륙형,False,전체,3,1
YS_0058,고지·산간형,False,전체,3,1
YS_0059,고지·산간형,False,전체,3,0
YS_0060,영서 내륙형,False,전체,3,1
YS_0061,영서 내륙형,False,전체,3,1
YS_0062,영서 내륙형,False,전체,3,1
YS_0063,영서 내륙형,False,전체,3,1
YS_0064,영서 내륙형,False,전체,3,1
YS_0065,영서 내륙형,False,전체,3,1
YS_0066,고지·산간형,False,전체,3,0
YS_0067,고지·산간형,False,전체,3,1
YS_0068,고지·산간형,False,전체,3,1
YS_0069,영서 내륙형,False,전체,3,1
YS_0070,영서 내륙형,False,전체,3,0
YS_0071,영서 내륙형,True,전체,3,2
YD_0001,영동 해안형,False,전체,4,1
YD_0002,영동 해안형,False,전체,4,1
YD_0003,영동 해안형,False,전체,4,1
YD_0004,영동 해안형,False,전체,4,1
YD_0005,영동 해안형,False,전체,4,1
YD_0006,영동 해안형,False,전체,4,1
YD_0007,영동 해안형,False,전체,4,1
YD_0008,영동 해안형,False,전체,4,1
YD_0009,영동 해안형,False,전체,4,1
YD_0010,영동 해안형,False,전체,4,1
YD_0011,영동 해안형,False,전체,4,1
YD_0012,영동 해안형,False,전체,4,1
YD_0013,영동 해안형,False,전체,4,1
YD_0014,영동 해안형,False,전체,4,1
YD_0015,영동 해안형,False,전체,4,1
YD_0016,영동 해안형,False,전체,4,1
YD_0017,영동 해안형,False,전체,4,1
YD_0018,영동 해안형,False,전체,4,0
YD_0019,영동 해안형,False,전체,4,1
YD_0020,영동 해안형,False,전체,4,1
YD_0021,영동 해안형,False,전체,4,1
YS_0001,영서 내륙형,False,전체,4,0
YS_0002,영서 내륙형,False,전체,4,1
YS_0003,영서 내륙형,False,전체,4,0
YS_0004,영서 내륙형,False,전체,4,0
YS_0005,고지·산간형,False,전체,4,0
YS_0006,영서 내륙형,False,전체,4,0
YS_0007,영서 내륙형,False,전체,4,0
YS_0008,영서 내륙형,False,전체,4,0
YS_0009,영서 내륙형,False,전체,4,0
YS_0010,영서 내륙형,False,전체,4,0
YS_0011,고지·산간형,False,전체,4,2
YS_0012,영서 내륙형,False,전체,4,0
YS_0013,고지·산간형,False,전체,4,0
YS_0014,영서 내륙형,False,전체,4,0
YS_0015,영서 내륙형,False,전체,4,0
YS_0016,고지·산간형,False,전체,4,2
YS_0017,영서 내륙형,False,전체,4,0
YS_0018,영서 내륙형,False,전체,4,0
YS_0019,고지·산간형,False,전체,4,0
YS_0020,고지·산간형,False,전체,4,0
YS_0021,고지·산간형,False,전체,4,0
YS_0022,영서 내륙형,False,전체,4,0
YS_0023,영서 내륙형,False,전체,4,0
YS_0024,영서 내륙형,False,전체,4,0
YS_0025,고지·산간형,False,전체,4,0
YS_0026,영서 내륙형,False,전체,4,0
YS_0027,고지·산간형,False,전체,4,0
YS_0028,영서 내륙형,False,전체,4,0
YS_0029,영서 내륙형,False,전체,4,2
YS_0030,영서 내륙형,False,전체,4,0
YS_0031,고지·산간형,False,전체,4,0
YS_0032,고지·산간형,False,전체,4,2
YS_0033,고지·산간형,False,전체,4,0
YS_0034,영서 내륙형,False,전체,4,0
YS_0035,고지·산간형,False,전체,4,1
YS_0036,고지·산간형,False,전체,4,2
YS_0037,영서 내륙형,False,전체,4,0
YS_0038,영서 내륙형,False,전체,4,0
YS_0039,고지·산간형,False,전체,4,2
YS_0040,영서 내륙형,False,전체,4,0
YS_0041,고지·산간형,False,전체,4,1
YS_0042,영서 내륙형,False,전체,4,0
YS_0043,영서 내륙형,False,전체,4,0
YS_0044,영서 내륙형,False,전체,4,0
YS_0045,영서 내륙형,False,전체,4,2
YS_0046,영서 내륙형,False,전체,4,0
YS_0047,고지·산간형,False,전체,4,2
YS_0048,고지·산간형,False,전체,4,2
YS_0049,고지·산간형,False,전체,4,0
YS_0050,영서 내륙형,False,전체,4,0
YS_0051,영서 내륙형,False,전체,4,0
YS_0052,영서 내륙형,False,전체,4,0
YS_0053,고지·산간형,False,전체,4,0
YS_0054,영서 내륙형,False,전체,4,0
YS_0055,고지·산간형,False,전체,4,1
YS_0056,고지·산간형,False,전체,4,2
YS_0057,영서 내륙형,False,전체,4,0
YS_0058,고지·산간형,False,전체,4,0
YS_0059,고지·산간형,False,전체,4,2
YS_0060,영서 내륙형,False,전체,4,0
YS_0061,영서 내륙형,False,전체,4,0
YS_0062,영서 내륙형,False,전체,4,0
YS_0063,영서 내륙형,False,전체,4,0
YS_0064,영서 내륙형,False,전체,4,0
YS_0065,영서 내륙형,False,전체,4,0
YS_0066,고지·산간형,False,전체,4,1
YS_0067,고지·산간형,False,전체,4,0
YS_0068,고지·산간형,False,전체,4,0
YS_0069,영서 내륙형,False,전체,4,0
YS_0070,영서 내륙형,False,전체,4,2
YS_0071,영서 내륙형,True,전체,4,3
YD_0001,영동 해안형,False,품질검토대상제외,2,1
YD_0002,영동 해안형,False,품질검토대상제외,2,1
YD_0003,영동 해안형,False,품질검토대상제외,2,1
YD_0004,영동 해안형,False,품질검토대상제외,2,1
YD_0005,영동 해안형,False,품질검토대상제외,2,1
YD_0006,영동 해안형,False,품질검토대상제외,2,1
YD_0007,영동 해안형,False,품질검토대상제외,2,1
YD_0008,영동 해안형,False,품질검토대상제외,2,1
YD_0009,영동 해안형,False,품질검토대상제외,2,1
YD_0010,영동 해안형,False,품질검토대상제외,2,1
YD_0011,영동 해안형,False,품질검토대상제외,2,1
YD_0012,영동 해안형,False,품질검토대상제외,2,1
YD_0013,영동 해안형,False,품질검토대상제외,2,1
YD_0014,영동 해안형,False,품질검토대상제외,2,1
YD_0015,영동 해안형,False,품질검토대상제외,2,1
YD_0016,영동 해안형,False,품질검토대상제외,2,1
YD_0017,영동 해안형,False,품질검토대상제외,2,1
YD_0018,영동 해안형,False,품질검토대상제외,2,0
YD_0019,영동 해안형,False,품질검토대상제외,2,1
YD_0020,영동 해안형,False,품질검토대상제외,2,1
YD_0021,영동 해안형,False,품질검토대상제외,2,1
YS_0001,영서 내륙형,False,품질검토대상제외,2,0
YS_0002,영서 내륙형,False,품질검토대상제외,2,0
YS_0003,영서 내륙형,False,품질검토대상제외,2,0
YS_0004,영서 내륙형,False,품질검토대상제외,2,0
YS_0005,고지·산간형,False,품질검토대상제외,2,0
YS_0006,영서 내륙형,False,품질검토대상제외,2,0
YS_0007,영서 내륙형,False,품질검토대상제외,2,0
YS_0008,영서 내륙형,False,품질검토대상제외,2,0
YS_0009,영서 내륙형,False,품질검토대상제외,2,0
YS_0010,영서 내륙형,False,품질검토대상제외,2,0
YS_0011,고지·산간형,False,품질검토대상제외,2,1
YS_0012,영서 내륙형,False,품질검토대상제외,2,0
YS_0013,고지·산간형,False,품질검토대상제외,2,0
YS_0014,영서 내륙형,False,품질검토대상제외,2,0
YS_0015,영서 내륙형,False,품질검토대상제외,2,0
YS_0016,고지·산간형,False,품질검토대상제외,2,1
YS_0017,영서 내륙형,False,품질검토대상제외,2,0
YS_0018,영서 내륙형,False,품질검토대상제외,2,0
YS_0019,고지·산간형,False,품질검토대상제외,2,0
YS_0020,고지·산간형,False,품질검토대상제외,2,0
YS_0021,고지·산간형,False,품질검토대상제외,2,0
YS_0022,영서 내륙형,False,품질검토대상제외,2,0
YS_0023,영서 내륙형,False,품질검토대상제외,2,0
YS_0024,영서 내륙형,False,품질검토대상제외,2,0
YS_0025,고지·산간형,False,품질검토대상제외,2,0
YS_0026,영서 내륙형,False,품질검토대상제외,2,0
YS_0027,고지·산간형,False,품질검토대상제외,2,0
YS_0028,영서 내륙형,False,품질검토대상제외,2,0
YS_0029,영서 내륙형,False,품질검토대상제외,2,1
YS_0030,영서 내륙형,False,품질검토대상제외,2,0
YS_0031,고지·산간형,False,품질검토대상제외,2,0
YS_0032,고지·산간형,False,품질검토대상제외,2,1
YS_0033,고지·산간형,False,품질검토대상제외,2,0
YS_0034,영서 내륙형,False,품질검토대상제외,2,0
YS_0035,고지·산간형,False,품질검토대상제외,2,1
YS_0036,고지·산간형,False,품질검토대상제외,2,1
YS_0037,영서 내륙형,False,품질검토대상제외,2,0
YS_0038,영서 내륙형,False,품질검토대상제외,2,0
YS_0039,고지·산간형,False,품질검토대상제외,2,1
YS_0040,영서 내륙형,False,품질검토대상제외,2,0
YS_0041,고지·산간형,False,품질검토대상제외,2,1
YS_0042,영서 내륙형,False,품질검토대상제외,2,0
YS_0043,영서 내륙형,False,품질검토대상제외,2,0
YS_0044,영서 내륙형,False,품질검토대상제외,2,0
YS_0045,영서 내륙형,False,품질검토대상제외,2,1
YS_0046,영서 내륙형,False,품질검토대상제외,2,0
YS_0047,고지·산간형,False,품질검토대상제외,2,1
YS_0048,고지·산간형,False,품질검토대상제외,2,1
YS_0049,고지·산간형,False,품질검토대상제외,2,0
YS_0050,영서 내륙형,False,품질검토대상제외,2,0
YS_0051,영서 내륙형,False,품질검토대상제외,2,0
YS_0052,영서 내륙형,False,품질검토대상제외,2,0
YS_0053,고지·산간형,False,품질검토대상제외,2,0
YS_0054,영서 내륙형,False,품질검토대상제외,2,0
YS_0055,고지·산간형,False,품질검토대상제외,2,1
YS_0056,고지·산간형,False,품질검토대상제외,2,0
YS_0057,영서 내륙형,False,품질검토대상제외,2,0
YS_0058,고지·산간형,False,품질검토대상제외,2,0
YS_0059,고지·산간형,False,품질검토대상제외,2,1
YS_0060,영서 내륙형,False,품질검토대상제외,2,0
YS_0061,영서 내륙형,False,품질검토대상제외,2,0
YS_0062,영서 내륙형,False,품질검토대상제외,2,0
YS_0063,영서 내륙형,False,품질검토대상제외,2,0
YS_0064,영서 내륙형,False,품질검토대상제외,2,0
YS_0065,영서 내륙형,False,품질검토대상제외,2,0
YS_0066,고지·산간형,False,품질검토대상제외,2,1
YS_0067,고지·산간형,False,품질검토대상제외,2,0
YS_0068,고지·산간형,False,품질검토대상제외,2,0
YS_0069,영서 내륙형,False,품질검토대상제외,2,0
YS_0070,영서 내륙형,False,품질검토대상제외,2,1
YD_0001,영동 해안형,False,품질검토대상제외,3,1
YD_0002,영동 해안형,False,품질검토대상제외,3,1
YD_0003,영동 해안형,False,품질검토대상제외,3,1
YD_0004,영동 해안형,False,품질검토대상제외,3,1
YD_0005,영동 해안형,False,품질검토대상제외,3,1
YD_0006,영동 해안형,False,품질검토대상제외,3,1
YD_0007,영동 해안형,False,품질검토대상제외,3,1
YD_0008,영동 해안형,False,품질검토대상제외,3,1
YD_0009,영동 해안형,False,품질검토대상제외,3,1
YD_0010,영동 해안형,False,품질검토대상제외,3,1
YD_0011,영동 해안형,False,품질검토대상제외,3,1
YD_0012,영동 해안형,False,품질검토대상제외,3,1
YD_0013,영동 해안형,False,품질검토대상제외,3,1
YD_0014,영동 해안형,False,품질검토대상제외,3,1
YD_0015,영동 해안형,False,품질검토대상제외,3,1
YD_0016,영동 해안형,False,품질검토대상제외,3,1
YD_0017,영동 해안형,False,품질검토대상제외,3,1
YD_0018,영동 해안형,False,품질검토대상제외,3,0
YD_0019,영동 해안형,False,품질검토대상제외,3,1
YD_0020,영동 해안형,False,품질검토대상제외,3,1
YD_0021,영동 해안형,False,품질검토대상제외,3,1
YS_0001,영서 내륙형,False,품질검토대상제외,3,0
YS_0002,영서 내륙형,False,품질검토대상제외,3,1
YS_0003,영서 내륙형,False,품질검토대상제외,3,0
YS_0004,영서 내륙형,False,품질검토대상제외,3,0
YS_0005,고지·산간형,False,품질검토대상제외,3,0
YS_0006,영서 내륙형,False,품질검토대상제외,3,0
YS_0007,영서 내륙형,False,품질검토대상제외,3,0
YS_0008,영서 내륙형,False,품질검토대상제외,3,0
YS_0009,영서 내륙형,False,품질검토대상제외,3,0
YS_0010,영서 내륙형,False,품질검토대상제외,3,0
YS_0011,고지·산간형,False,품질검토대상제외,3,2
YS_0012,영서 내륙형,False,품질검토대상제외,3,0
YS_0013,고지·산간형,False,품질검토대상제외,3,0
YS_0014,영서 내륙형,False,품질검토대상제외,3,0
YS_0015,영서 내륙형,False,품질검토대상제외,3,0
YS_0016,고지·산간형,False,품질검토대상제외,3,2
YS_0017,영서 내륙형,False,품질검토대상제외,3,0
YS_0018,영서 내륙형,False,품질검토대상제외,3,0
YS_0019,고지·산간형,False,품질검토대상제외,3,0
YS_0020,고지·산간형,False,품질검토대상제외,3,0
YS_0021,고지·산간형,False,품질검토대상제외,3,0
YS_0022,영서 내륙형,False,품질검토대상제외,3,0
YS_0023,영서 내륙형,False,품질검토대상제외,3,0
YS_0024,영서 내륙형,False,품질검토대상제외,3,0
YS_0025,고지·산간형,False,품질검토대상제외,3,0
YS_0026,영서 내륙형,False,품질검토대상제외,3,0
YS_0027,고지·산간형,False,품질검토대상제외,3,0
YS_0028,영서 내륙형,False,품질검토대상제외,3,0
YS_0029,영서 내륙형,False,품질검토대상제외,3,2
YS_0030,영서 내륙형,False,품질검토대상제외,3,0
YS_0031,고지·산간형,False,품질검토대상제외,3,0
YS_0032,고지·산간형,False,품질검토대상제외,3,2
YS_0033,고지·산간형,False,품질검토대상제외,3,0
YS_0034,영서 내륙형,False,품질검토대상제외,3,0
YS_0035,고지·산간형,False,품질검토대상제외,3,1
YS_0036,고지·산간형,False,품질검토대상제외,3,2
YS_0037,영서 내륙형,False,품질검토대상제외,3,0
YS_0038,영서 내륙형,False,품질검토대상제외,3,0
YS_0039,고지·산간형,False,품질검토대상제외,3,2
YS_0040,영서 내륙형,False,품질검토대상제외,3,0
YS_0041,고지·산간형,False,품질검토대상제외,3,1
YS_0042,영서 내륙형,False,품질검토대상제외,3,0
YS_0043,영서 내륙형,False,품질검토대상제외,3,0
YS_0044,영서 내륙형,False,품질검토대상제외,3,0
YS_0045,영서 내륙형,False,품질검토대상제외,3,2
YS_0046,영서 내륙형,False,품질검토대상제외,3,0
YS_0047,고지·산간형,False,품질검토대상제외,3,2
YS_0048,고지·산간형,False,품질검토대상제외,3,2
YS_0049,고지·산간형,False,품질검토대상제외,3,0
YS_0050,영서 내륙형,False,품질검토대상제외,3,0
YS_0051,영서 내륙형,False,품질검토대상제외,3,0
YS_0052,영서 내륙형,False,품질검토대상제외,3,0
YS_0053,고지·산간형,False,품질검토대상제외,3,0
YS_0054,영서 내륙형,False,품질검토대상제외,3,0
YS_0055,고지·산간형,False,품질검토대상제외,3,1
YS_0056,고지·산간형,False,품질검토대상제외,3,2
YS_0057,영서 내륙형,False,품질검토대상제외,3,0
YS_0058,고지·산간형,False,품질검토대상제외,3,0
YS_0059,고지·산간형,False,품질검토대상제외,3,2
YS_0060,영서 내륙형,False,품질검토대상제외,3,0
YS_0061,영서 내륙형,False,품질검토대상제외,3,0
YS_0062,영서 내륙형,False,품질검토대상제외,3,0
YS_0063,영서 내륙형,False,품질검토대상제외,3,0
YS_0064,영서 내륙형,False,품질검토대상제외,3,0
YS_0065,영서 내륙형,False,품질검토대상제외,3,0
YS_0066,고지·산간형,False,품질검토대상제외,3,1
YS_0067,고지·산간형,False,품질검토대상제외,3,0
YS_0068,고지·산간형,False,품질검토대상제외,3,0
YS_0069,영서 내륙형,False,품질검토대상제외,3,0
YS_0070,영서 내륙형,False,품질검토대상제외,3,2
YD_0001,영동 해안형,False,품질검토대상제외,4,2
YD_0002,영동 해안형,False,품질검토대상제외,4,2
YD_0003,영동 해안형,False,품질검토대상제외,4,2
YD_0004,영동 해안형,False,품질검토대상제외,4,2
YD_0005,영동 해안형,False,품질검토대상제외,4,2
YD_0006,영동 해안형,False,품질검토대상제외,4,2
YD_0007,영동 해안형,False,품질검토대상제외,4,2
YD_0008,영동 해안형,False,품질검토대상제외,4,2
YD_0009,영동 해안형,False,품질검토대상제외,4,2
YD_0010,영동 해안형,False,품질검토대상제외,4,2
YD_0011,영동 해안형,False,품질검토대상제외,4,2
YD_0012,영동 해안형,False,품질검토대상제외,4,2
YD_0013,영동 해안형,False,품질검토대상제외,4,2
YD_0014,영동 해안형,False,품질검토대상제외,4,2
YD_0015,영동 해안형,False,품질검토대상제외,4,2
YD_0016,영동 해안형,False,품질검토대상제외,4,2
YD_0017,영동 해안형,False,품질검토대상제외,4,2
YD_0018,영동 해안형,False,품질검토대상제외,4,1
YD_0019,영동 해안형,False,품질검토대상제외,4,2
YD_0020,영동 해안형,False,품질검토대상제외,4,2
YD_0021,영동 해안형,False,품질검토대상제외,4,2
YS_0001,영서 내륙형,False,품질검토대상제외,4,1
YS_0002,영서 내륙형,False,품질검토대상제외,4,2
YS_0003,영서 내륙형,False,품질검토대상제외,4,1
YS_0004,영서 내륙형,False,품질검토대상제외,4,1
YS_0005,고지·산간형,False,품질검토대상제외,4,1
YS_0006,영서 내륙형,False,품질검토대상제외,4,1
YS_0007,영서 내륙형,False,품질검토대상제외,4,1
YS_0008,영서 내륙형,False,품질검토대상제외,4,1
YS_0009,영서 내륙형,False,품질검토대상제외,4,1
YS_0010,영서 내륙형,False,품질검토대상제외,4,1
YS_0011,고지·산간형,False,품질검토대상제외,4,0
YS_0012,영서 내륙형,False,품질검토대상제외,4,1
YS_0013,고지·산간형,False,품질검토대상제외,4,1
YS_0014,영서 내륙형,False,품질검토대상제외,4,1
YS_0015,영서 내륙형,False,품질검토대상제외,4,1
YS_0016,고지·산간형,False,품질검토대상제외,4,0
YS_0017,영서 내륙형,False,품질검토대상제외,4,1
YS_0018,영서 내륙형,False,품질검토대상제외,4,1
YS_0019,고지·산간형,False,품질검토대상제외,4,1
YS_0020,고지·산간형,False,품질검토대상제외,4,1
YS_0021,고지·산간형,False,품질검토대상제외,4,1
YS_0022,영서 내륙형,False,품질검토대상제외,4,1
YS_0023,영서 내륙형,False,품질검토대상제외,4,1
YS_0024,영서 내륙형,False,품질검토대상제외,4,1
YS_0025,고지·산간형,False,품질검토대상제외,4,1
YS_0026,영서 내륙형,False,품질검토대상제외,4,1
YS_0027,고지·산간형,False,품질검토대상제외,4,1
YS_0028,영서 내륙형,False,품질검토대상제외,4,1
YS_0029,영서 내륙형,False,품질검토대상제외,4,0
YS_0030,영서 내륙형,False,품질검토대상제외,4,1
YS_0031,고지·산간형,False,품질검토대상제외,4,1
YS_0032,고지·산간형,False,품질검토대상제외,4,0
YS_0033,고지·산간형,False,품질검토대상제외,4,1
YS_0034,영서 내륙형,False,품질검토대상제외,4,0
YS_0035,고지·산간형,False,품질검토대상제외,4,2
YS_0036,고지·산간형,False,품질검토대상제외,4,0
YS_0037,영서 내륙형,False,품질검토대상제외,4,1
YS_0038,영서 내륙형,False,품질검토대상제외,4,1
YS_0039,고지·산간형,False,품질검토대상제외,4,3
YS_0040,영서 내륙형,False,품질검토대상제외,4,1
YS_0041,고지·산간형,False,품질검토대상제외,4,2
YS_0042,영서 내륙형,False,품질검토대상제외,4,1
YS_0043,영서 내륙형,False,품질검토대상제외,4,1
YS_0044,영서 내륙형,False,품질검토대상제외,4,1
YS_0045,영서 내륙형,False,품질검토대상제외,4,0
YS_0046,영서 내륙형,False,품질검토대상제외,4,1
YS_0047,고지·산간형,False,품질검토대상제외,4,3
YS_0048,고지·산간형,False,품질검토대상제외,4,3
YS_0049,고지·산간형,False,품질검토대상제외,4,1
YS_0050,영서 내륙형,False,품질검토대상제외,4,1
YS_0051,영서 내륙형,False,품질검토대상제외,4,1
YS_0052,영서 내륙형,False,품질검토대상제외,4,1
YS_0053,고지·산간형,False,품질검토대상제외,4,1
YS_0054,영서 내륙형,False,품질검토대상제외,4,1
YS_0055,고지·산간형,False,품질검토대상제외,4,0
YS_0056,고지·산간형,False,품질검토대상제외,4,0
YS_0057,영서 내륙형,False,품질검토대상제외,4,1
YS_0058,고지·산간형,False,품질검토대상제외,4,1
YS_0059,고지·산간형,False,품질검토대상제외,4,3
YS_0060,영서 내륙형,False,품질검토대상제외,4,1
YS_0061,영서 내륙형,False,품질검토대상제외,4,1
YS_0062,영서 내륙형,False,품질검토대상제외,4,1
YS_0063,영서 내륙형,False,품질검토대상제외,4,1
YS_0064,영서 내륙형,False,품질검토대상제외,4,1
YS_0065,영서 내륙형,False,품질검토대상제외,4,1
YS_0066,고지·산간형,False,품질검토대상제외,4,2
YS_0067,고지·산간형,False,품질검토대상제외,4,1
YS_0068,고지·산간형,False,품질검토대상제외,4,1
