fire_id,연도,월,일,시간,진화소요시간(HH),위도,경도,발생지역시도명,발생지역시군구명,발생지역읍면동명,발생지역리명,발생지역번지,발생원인명,피해면적(ha),피해금액
F_000000,2013,3,27,17,0.9333333333333333,37.63510045170228,126.99758205559453,서울특별시,강북구,수유동,,산127-1,노숙자실화 추정,,
F_000001,2013,3,10,14,0.48333333333333334,37.4507925535295,127.06916827308487,서울특별시,서초구,내곡동,,산12-415,밭두렁소각,,
F_000002,2013,10,27,11,0.8333333333333334,37.68129016655618,127.01696540439966,서울특별시,도봉구,도봉동,,산29-89,미상,,
F_000003,2013,4,16,19,1.8833333333333333,37.502707074583576,127.1476360866065,서울특별시,송파구,마천동,,54-20,방화 추정,,
F_000004,2007,3,26,15,0.23333333333333334,37.61738177694373,127.03749420632151,서울특별시,강북,미아,,산35-3,입산자실화,0.02,0.0
F_000005,2007,4,9,15,2.216666666666667,37.64608364948532,126.9537530967595,서울특별시,은평,진관내,,산51,입산자실화,0.08,0.0
F_000006,2007,1,19,15,0.16666666666666666,37.60794642726773,127.04327591997428,서울특별시,성북,상월곡,,산1-62,입산자실화,0.01,0.0
F_000007,2007,1,28,15,0.3,37.587113025524616,126.89141307204955,서울특별시,은평,수색,,산13-16,담뱃불실화추정,0.02,0.0
F_000008,2007,6,18,20,9.366666666666667,37.66989844813232,127.09160545266495,서울특별시,노원,상계,,산159-1,입산자실화,0.16,10000.0
F_000009,2007,2,4,10,0.08333333333333333,37.48269800796141,126.99894630435088,서울특별시,서초,방배,,산24-3,입산자실화,0.02,0.0
F_000010,2007,2,7,19,0.25,37.50081031511574,127.15649701481563,서울특별시,송파,마천,,산2-5,입산자실화,0.02,0.0
F_000011,2001,11,27,9,0.35,37.61986843671525,127.0411297642329,서울특별시,강북,번,,산28-6,입산자실화추정,0.01,0.0
F_000012,2002,3,23,15,0.4,37.62949359709475,127.03334377566404,서울특별시,강북,번,,산20-1,담뱃불실화추정,0.01,0.0
F_000013,2002,4,28,16,0.16666666666666666,37.62415182884196,127.03884649144705,서울특별시,강북,번,,산28-1,어린이불장난,0.01,0.0
F_000014,2003,4,4,20,0.36666666666666664,37.62949359709475,127.03334377566404,서울특별시,강북,번2,,산20-1,입산자실화추정,0.03,0.0
F_000015,2006,3,7,16,0.08333333333333333,37.62509354737103,127.03511592701203,서울특별시,강북,번,,산27-3,어린이불장난,0.01,0.0
F_000016,2008,3,8,15,0.4,37.61736842867098,127.0406380423295,서울특별시,강북,번,,산28-8,방화추정,0.02,0.0
F_000017,2002,3,11,22,0.6333333333333333,37.622832178568935,127.0554660282264,서울특별시,노원,월계,,산130,입산자실화추정,0.05,0.0
F_000018,2002,3,17,16,0.8666666666666667,37.622529409517185,127.05454101515575,서울특별시,노원,월계,,산130-1,입산자실화추정,0.07,0.0
F_000019,2009,4,12,14,0.26666666666666666,37.627531868042865,127.08414686079622,서울특별시,노원,공릉,,산53-6,인근주민불장난추정,0.6,0.0
F_000020,2005,2,1,13,0.3333333333333333,37.63791018035917,127.04520234724941,서울특별시,도봉,창,,산202-1,입산자실화추정,0.03,0.0
F_000021,2006,5,9,17,0.38333333333333336,37.64125189232705,127.04292184117025,서울특별시,도봉,창,,산194-5,방화추정,0.15,0.0
F_000022,2000,3,24,14,1.3333333333333333,37.644673686412865,127.08068883356789,서울특별시,노원,중계본,,산131,담뱃불실화추정,0.15,0.0
F_000023,2001,11,19,14,1.0,37.66075988926587,127.08220580678194,서울특별시,노원,중계,,산30-3,담뱃불실화추정,0.02,0.0
F_000024,2002,4,28,12,1.5333333333333332,37.64491244665935,127.09186391254197,서울특별시,노원,중계본,,산104-3,담뱃불실화추정,0.2,0.0
F_000025,2003,5,18,5,0.4666666666666667,37.64555691004935,127.09037224489057,서울특별시,노원,중계본,,산104,담배불실화,0.03,0.0
F_000026,2001,12,18,18,0.31666666666666665,37.66663276421151,127.03044723399513,서울특별시,도봉,방학,,산36-1,담뱃불실화추정,0.03,0.0
F_000027,2002,4,5,16,0.16666666666666666,37.65479665866665,127.02324973923359,서울특별시,도봉,방학,,산90-3,담뱃불실화추정,0.01,0.0
F_000028,2003,2,6,15,0.13333333333333333,37.666946685534,127.02815555538352,서울특별시,도봉,방학,,산56,담배불실화,0.01,0.0
F_000029,2003,2,15,14,0.16666666666666666,37.6711549168477,127.03883070684988,서울특별시,도봉,방학2,,산2-1,쓰레기소각,0.01,0.0
F_000030,2003,3,30,12,0.21666666666666667,37.657952270752176,127.02019977676059,서울특별시,도봉,방학,,산85-1,담배불실화,0.01,0.0
F_000031,2005,4,4,14,0.31666666666666665,37.67031329645388,127.03453344368282,서울특별시,도봉,방학,,산13-1,입산자실화추정,0.01,0.0
F_000032,2006,3,19,2,0.3,37.66263562985091,127.02049709042856,서울특별시,도봉,방학,,산69-30,쓰레기소각,0.01,0.0
F_000033,2006,3,22,20,0.35,37.66335782803234,127.02327211845561,서울특별시,도봉,방학,,산63-1,정신이상자실화,0.06,0.0
F_000034,2006,4,26,15,0.9833333333333333,37.664874480081224,127.02556104828251,서울특별시,도봉,방학,,산60-3,방화추정,0.24,0.0
F_000035,2000,4,4,12,2.75,37.65576925039737,126.99280232649055,서울특별시,강북,우이,,산68-1,입산자실화추정,1.8,0.0
F_000036,2000,4,7,16,1.0333333333333334,37.65576925039737,126.99280232649055,서울특별시,강북,우이,,산68-1,입산자실화추정,0.13,0.0
F_000037,2002,3,4,3,1.2833333333333332,37.65634409728322,127.00585520866959,서울특별시,강북,우이,,산65-1,담뱃불실화추정,0.16,0.0
F_000038,2002,3,19,7,0.45,37.65906073652893,127.0097052802706,서울특별시,강북,우이,,산40-1,임야연접주택화재,0.03,0.0
F_000039,2005,1,1,9,0.9333333333333333,37.65576925039737,126.99280232649055,서울특별시,강북,우이,,산68-1,무속인실화추정,0.2,0.0
F_000040,2006,4,28,20,6.25,37.65576925039737,126.99280232649055,서울특별시,강북,우이,,산68-1,방화추정,4.39,0.0
F_000041,2010,4,4,10,0.6166666666666667,37.44854113390625,127.04967573838447,서울특별시,서초,원지,,산56-1,농산폐기물소각,0.02,0.0
F_000042,2012,6,2,17,1.5666666666666667,37.62113938208377,127.09156792904258,서울특별시,노원,상계동,,51-1,방화추정,0.03,0.0
F_000043,2012,6,3,12,5.75,37.627385831936955,127.08217132446899,서울특별시,노원,상계동,,산44-2,방화추정,1.6,0.0
F_000044,2001,3,18,15,0.35,37.67286548106907,127.08562272842877,서울특별시,노원,상계,,산161-1,어린이불장난추정,0.01,0.0
F_000045,2001,4,23,14,1.1166666666666667,37.664848813476446,127.08164476462862,서울특별시,노원,상계,,산173-3,담뱃불실화추정,0.11,0.0
F_000046,2001,5,13,17,0.5833333333333334,37.673126712262665,127.0756865516822,서울특별시,노원,상계,,산152-1,담뱃불실화추정,0.02,300.0
F_000047,2001,5,14,12,0.48333333333333334,37.673126712262665,127.0756865516822,서울특별시,노원,상계,,산152-1,담뱃불실화추정,0.01,0.0
F_000048,2001,12,6,12,1.4833333333333334,37.66893517417802,127.06236971316436,서울특별시,노원,상계,,산118-1,공장화재,0.01,0.0
F_000049,2002,3,4,20,1.0333333333333334,37.67954337108193,127.08027280990868,서울특별시,노원,상계,,산154-2,입산자실화추정,0.2,0.0
F_000050,2003,12,14,19,0.5,37.6817157716657,127.06633108798061,서울특별시,노원,상계1,,산44-1,입산자실화,0.02,0.0
F_000051,2005,1,23,17,7.516666666666667,37.676562738498085,127.08487556723455,서울특별시,노원,상계,,산153-1,입산자실화추정,0.02,0.0
F_000052,2005,5,5,4,2.3166666666666664,37.685460154774155,127.07328677179403,서울특별시,노원,상계,,산1-1,입산자실화추정,0.3,0.0
F_000053,2008,4,16,10,1.15,37.668093406079244,127.07087253042714,서울특별시,노원,상계,,산145-7,어린이불장난추정,0.04,0.0
F_000054,2000,3,25,8,0.75,37.673799608929556,127.01908062030682,서울특별시,도봉,도봉,,산86-2,입산자실화추정,0.07,0.0
F_000055,2012,6,17,17,2.5833333333333335,37.55682846608339,127.11234412137128,서울특별시,광진,중곡동,,3-3,원인미상,0.3,0.0
F_000056,2012,6,28,11,1.6666666666666665,37.6853436352315,127.03095669241334,서울특별시,도봉,방학동,,산60,원인미상,0.01,0.0
F_000057,2001,12,1,13,0.31666666666666665,37.67707159048136,127.04161695191505,서울특별시,도봉,도봉,,산98-1,담뱃불실화추정,0.01,0.0
F_000058,2002,2,5,15,0.11666666666666667,37.69297724844803,127.0416311347399,서울특별시,도봉,도봉,,산2-1,어린이불장난추정,0.01,0.0
F_000059,2002,3,16,16,0.3,37.68362997008003,127.04088373631987,서울특별시,도봉,도봉,,산68-2,담뱃불실화추정,0.03,0.0
F_000060,2004,3,23,14,1.5166666666666666,37.69243847189943,127.03152828253008,서울특별시,도봉,도봉,,산29-9,담뱃불실화,0.3,0.0
F_000061,2006,3,25,19,0.55,37.68104109723597,127.03820310756926,서울특별시,도봉,도봉,,산70-1,건물화재비화,0.2,607.0
F_000062,2006,4,24,23,0.23333333333333334,37.68705226750477,127.03684766435165,서울특별시,도봉,도봉,,산11-1,담뱃불실화추정,0.01,0.0
F_000063,2009,4,14,13,0.8,37.68215233537197,127.0280002884326,서울특별시,도봉,도봉,,산53,미상,0.01,0.0
F_000064,2000,3,25,16,0.9,37.574193180542665,126.80363839002558,서울특별시,강서,개화,,산100,입산자실화추정,0.03,0.0
F_000065,2001,4,9,18,0.16666666666666666,37.570717961810914,126.82019399507507,서울특별시,강서,방화,,산79-3,어린이불장난추정,0.01,0.0
F_000066,2001,4,3,18,0.2,37.60752230472278,126.94285385289798,서울특별시,은평,녹번,,산1-1,어린이불장난,0.02,0.0
F_000067,2003,3,23,16,0.11666666666666667,37.60333073996579,126.93223425972494,서울특별시,은평,녹번,,산28-2,입산자실화추정,0.01,0.0
F_000068,2006,3,25,16,0.23333333333333334,37.60752230472278,126.94285385289798,서울특별시,은평,녹번,,산1-1,입산자실화,3.0,8882.0
F_000069,2001,3,23,14,0.2,37.61633084742373,126.92976226778282,서울특별시,은평,불광,,산54-5,어린이불장난,0.01,0.0
F_000070,2001,4,4,15,0.25,37.626497580672066,126.93011245991791,서울특별시,은평,불광,,산28-1,어린이불장난추정,0.01,0.0
F_000071,2001,4,27,18,0.6833333333333333,37.61801680946216,126.9433290575845,서울특별시,은평,불광,,산42-1,담뱃불실화추정,0.13,0.0
F_000072,2002,10,23,16,0.3333333333333333,37.61801680946216,126.9433290575845,서울특별시,은평,불광,,산42-1,담뱃불실화추정,0.01,0.0
F_000073,2003,4,4,20,0.2,37.625761460822055,126.93019577545498,서울특별시,은평,불광,,산29-4,담배불실화,0.01,0.0
F_000074,2003,4,16,16,0.43333333333333335,37.61801680946216,126.9433290575845,서울특별시,은평,불광,,산42-1,담배불실화,0.02,0.0
F_000075,2006,4,8,20,0.25,37.62456143046396,126.93225688140677,서울특별시,은평,불광,,산10-1,담뱃불실화추정,0.04,0.0
F_000076,2008,3,21,17,0.5833333333333334,37.62098364673934,126.93089014103971,서울특별시,은평,불광,,산33-1,입산자실화,0.06,0.0
F_000077,2012,4,8,20,2.35,37.62586304871758,126.917843220495,서울특별시,은평,진관동,,산25,등산객실화,0.02,1641.0
F_000078,2012,4,9,14,0.6333333333333333,37.55687265103805,127.11230617206945,서울특별시,광진,구의동,,산3-16,등산객실화,0.1,3990.0
F_000079,2006,5,2,19,0.15,37.65241883761401,127.02560804445186,서울특별시,도봉,쌍문,,산248-6,입산자실화,0.01,0.0
F_000080,2010,11,9,21,0.36666666666666664,37.61644981260324,126.97064893622849,서울특별시,종로,평창,,산6-386,입산자실화,0.01,940.0
F_000081,2012,4,9,19,0.9666666666666667,37.55768891620368,127.09612950083142,서울특별시,광진,중곡동,,산143-126,등산객실화,0.15,3109.0
F_000082,2003,11,23,16,0.36666666666666664,37.59732765338505,126.95489819597127,서울특별시,서대문,홍은2,,산1-181,담배불실화,0.03,0.0
F_000083,2010,11,16,18,0.9333333333333333,37.5876359124723,126.95545385080428,서울특별시,서대문,홍제,,산1,등산객실화,0.01,0.0
F_000084,2012,6,14,21,0.8333333333333334,37.449747998831974,126.91841273200379,서울특별시,금천,시흥동,,산91-4,원인미상,0.01,500.0
F_000085,2002,4,5,12,0.06666666666666667,37.606767626834646,127.10239937165561,서울특별시,중랑,신내,,산77-1,담배불실화추정,0.02,0.0
F_000086,2012,6,26,12,1.0166666666666666,37.570132441960844,127.0969938012997,서울특별시,광진,중곡동,,143-134,원인미상,0.03,0.0
F_000087,2012,10,15,21,7.183333333333334,37.64830103102679,127.08166630685615,서울특별시,노원,불암,,산37-8,원인미상,0.1,0.0
F_000088,2006,1,27,11,0.2833333333333333,37.46292605061168,127.01490719741237,서울특별시,서초,우면,,산84,공장화재비화,0.01,0.0
F_000089,2000,4,5,16,0.95,37.45105441561871,126.9588176985553,서울특별시,관악,신림,,산56-1,담뱃불실화추정,0.23,0.0
F_000090,2000,5,9,10,0.9666666666666667,37.44594897453955,126.9465341887248,서울특별시,관악,신림,,산56-2,입산자실화추정,0.02,0.0
F_000091,2001,3,16,17,0.13333333333333333,37.45624353389308,126.94267601972166,서울특별시,관악,신림,,산29,입산자실화추정,0.01,0.0
F_000092,2001,4,18,15,0.7166666666666667,37.47405218808719,126.92539567669871,서울특별시,관악,신림,,산125-4,어린이불장난추정,0.03,0.0
F_000093,2001,5,13,16,0.2833333333333333,37.46699102605388,126.92590110941245,서울특별시,관악,신림,,산89,분신자살,0.01,0.0
F_000094,2001,6,6,21,0.95,37.463393529220774,126.94672896171018,서울특별시,관악,신림,,산29-1,담뱃불실화추정,0.01,0.0
F_000095,2001,10,28,22,3.8333333333333335,37.47865761554478,126.93907641778958,서울특별시,관악,신림,,산1-1,방화추정,0.4,0.0
F_000096,2001,11,27,16,0.4166666666666667,37.481729906300124,126.9346153322916,서울특별시,관악,신림,,산170-135,담뱃불실화추정,0.01,0.0
F_000097,2002,2,14,23,0.4,37.47676609205471,126.92604018250103,서울특별시,관악,신림,,산159-5,담뱃불실화추정,0.01,0.0
F_000098,2002,3,3,17,0.7333333333333333,37.47850503704758,126.92165962789237,서울특별시,관악,신림,,산191-13,담뱃불실화추정,0.2,0.0
F_000099,2002,3,12,16,0.18333333333333332,37.46721322293772,126.92848723835989,서울특별시,관악,신림,,산88,어린이불장난추정,0.01,0.0
F_000100,2002,4,29,5,0.7833333333333333,37.45624353389308,126.94267601972166,서울특별시,관악,신림,,산29,입산자실화추정,0.02,0.0
F_000101,2002,12,4,21,0.9166666666666666,37.44594897453955,126.9465341887248,서울특별시,관악,신림,,산56-2,담뱃,0.01,0.0
F_000102,2003,3,4,12,0.25,37.47917730270803,126.91896794860337,서울특별시,관악,신림,,산193-1,담배불실화,0.01,0.0
F_000103,2003,4,1,15,0.3333333333333333,37.4650074572545,126.9444400858223,서울특별시,관악,신림,,산27-1,담배불실화,0.01,0.0
F_000104,2004,1,5,15,0.0,37.47865761554478,126.93907641778958,서울특별시,관악,신림,,산1-1,담뱃불실화,0.01,0.0
F_000105,2004,4,17,21,0.4666666666666667,37.45624353389308,126.94267601972166,서울특별시,관악,신림,,산29,담뱃불실화,0.26,0.0
F_000106,2005,3,27,17,0.6,37.45456869768196,126.92766755640298,서울특별시,관악,신림,,산57-13,입산자실화추정,0.04,0.0
F_000107,2005,4,5,19,0.45,37.456393681362805,126.93001760023411,서울특별시,관악,신림,,산57-14,담뱃불실화추정,0.01,0.0
F_000108,2005,4,17,22,0.8666666666666667,37.45847976634482,126.93379821945837,서울특별시,관악,신림,,산72-5,무속인촛불실화,0.02,0.0
F_000109,2006,5,16,12,0.5,37.466199496762215,126.91365100945241,서울특별시,관악,신림,,산117-2,방화,0.01,0.0
F_000110,2007,2,26,17,0.3333333333333333,37.46626861979944,126.9408011916543,서울특별시,관악,신림,,산24-1,입산자실화,0.01,0.0
F_000111,2001,4,30,13,0.3333333333333333,37.47169070347544,126.95545417564502,서울특별시,관악,봉천,,산41-1,어린이불장난추정,0.01,0.0
F_000112,2001,5,3,3,0.5666666666666667,37.46811553314682,126.96821531003356,서울특별시,관악,봉천,,산17-3,어린이불장난추정,0.02,0.0
F_000113,2001,12,6,15,1.4666666666666668,37.49041051752655,126.93463493850308,서울특별시,관악,봉천,,산113-3,입산자실화추정,0.06,0.0
F_000114,2001,12,7,12,0.36666666666666664,37.491079956929156,126.9357682941155,서울특별시,관악,봉천,,산115,담뱃불실화추정,0.01,0.0
F_000115,2002,2,5,13,0.23333333333333334,37.4903993654288,126.93825718554788,서울특별시,관악,봉천,,산104-1,담뱃불실화추정,0.01,0.0
F_000116,2003,3,10,14,0.2833333333333333,37.490396566785684,126.93987108649209,서울특별시,관악,봉천,,산103-84,담배불실화,0.01,0.0
F_000117,2004,3,31,11,0.3333333333333333,37.492007733666085,126.93605164090913,서울특별시,관악,봉천,,산118-1,담뱃불실화,0.03,0.0
F_000118,2004,3,31,16,0.5,37.48002708567414,126.93781254444042,서울특별시,관악,봉천,,산151-15,담뱃불실화,0.06,0.0
F_000119,2005,9,26,16,0.18333333333333332,37.490396566785684,126.93987108649209,서울특별시,관악,봉천,,산103-84,어린이불장난추정,0.01,0.0
F_000120,2006,3,23,18,0.36666666666666664,37.47369070299493,126.95688755877832,서울특별시,관악,봉천,,산53-1,담뱃불실화추정,0.03,0.0
F_000121,2006,3,27,15,0.25,37.49338818509627,126.94609618740772,서울특별시,관악,봉천,,산101-90,담뱃불실화추정,0.01,0.0
F_000122,2001,4,21,18,1.05,37.50213575534733,127.15506999501821,서울특별시,송파,마천,,산8,담뱃불실화추정,0.13,0.0
F_000123,2002,3,22,15,0.13333333333333333,37.50026350476402,127.15615607234456,서울특별시,송파,마천,,산2-10,입산자실화추정,0.01,0.0
F_000124,2001,4,5,14,0.36666666666666664,37.63717276947455,126.92044315269196,서울특별시,은평,진관,,산68-3,성묘객실화,0.02,0.0
F_000125,2003,3,11,15,0.3333333333333333,37.63037831162679,126.917181888885,서울특별시,은평,진관외,,산129,입산자실화추정,0.01,0.0
F_000126,2003,3,19,17,0.3333333333333333,37.645353198370366,126.93511007316728,서울특별시,은평,진관내,,산93-1,담배불실화추정,0.01,0.0
F_000127,2004,2,18,15,0.25,37.631039315953416,126.92650696699826,서울특별시,은평,진관,,산110,담뱃불실화,0.08,0.0
F_000128,2004,4,17,15,0.25,37.64353372493324,126.93648504817297,서울특별시,은평,진관,,산92,담뱃불실화,0.02,0.0
F_000129,2006,5,1,22,0.8333333333333334,37.6411003127834,126.9416711469809,서울특별시,은평,진관,,산103,입산자실화,0.06,0.0
F_000130,2006,2,23,15,0.25,37.50220238613331,127.15805335210858,서울특별시,송파,마천,,산1-10,어린이불장난추정,0.02,0.0
F_000131,2006,3,15,19,0.3333333333333333,37.49996905403608,127.15664773759656,서울특별시,송파,마천,,산1-16,어린이불장난추정,0.01,0.0
F_000132,2001,3,25,18,0.25,37.50492959435687,126.97393270068414,서울특별시,동작,동작,,산44-7,성묘객실화추정,0.01,0.0
F_000133,2005,2,9,15,0.43333333333333335,37.49544617748911,126.97599920331565,서울특별시,동작,동작,,산11-1,담뱃불실화추정,0.01,0.0
F_000134,2002,3,18,17,0.25,37.502561391969095,126.8684124925234,서울특별시,구로,고척,,산55-1,입산자실화추정,0.1,0.0
F_000135,2008,5,1,18,0.13333333333333333,37.497623577463344,127.00882169477408,서울특별시,서초,반포,,산27-4,어린이불장난추정,0.01,0.0
F_000136,2002,3,17,12,0.5666666666666667,37.506897503729334,126.87051536083813,서울특별시,양천,신정,,산75-2,담뱃불실화추정,0.05,0.0
F_000137,2003,12,30,15,0.26666666666666666,37.5067058399411,126.87020146709408,서울특별시,양천,신정,,산75-21,담배불실화,0.01,0.0
F_000138,2008,1,2,17,0.11666666666666667,37.51258670282957,126.84737364164206,서울특별시,양천,신정,,산114-1,담뱃불실화,0.09,1600.0
F_000139,2001,4,26,21,0.38333333333333336,37.5566117684797,127.09987063582639,서울특별시,광진,구의,,산3,담뱃불실화추정,0.03,0.0
F_000140,2001,4,27,2,0.4666666666666667,37.5566117684797,127.09987063582639,서울특별시,광진,구의,,산3,어린이불장난추정,0.03,0.0
F_000141,2001,4,18,16,0.48333333333333334,37.56072800460976,127.1384876412255,서울특별시,강동,암사,,산31,담뱃불실화추정,0.23,0.0
F_000142,2001,4,30,2,1.1166666666666667,37.54602015111444,126.85616044487992,서울특별시,강서,등촌,,산24-2,입산자실화추정,0.15,0.0
F_000143,2000,3,26,15,0.4166666666666667,37.56759795036663,127.09996529447263,서울특별시,광진,중곡,,산1,담뱃불실화,0.03,0.0
F_000144,2001,6,6,21,0.4,37.566531360100676,127.09281522484694,서울특별시,광진,중곡,,산3-68,담뱃불실화추정,0.02,0.0
F_000145,2003,3,30,19,0.6833333333333333,37.56759795036663,127.09996529447263,서울특별시,광진,중곡,,산1,담배불실화,0.03,243.0
F_000146,2004,5,24,23,1.5,37.56559802561971,127.0930124299868,서울특별시,광진,중곡,,,무속행위실화,0.04,0.0
F_000147,2001,11,28,20,0.26666666666666666,37.65355496660324,127.02451083088155,서울특별시,도봉,쌍문,,산249,담뱃불실화추정,0.01,0.0
F_000148,2006,2,18,14,0.26666666666666666,37.56583971269765,127.09122908625719,서울특별시,광진,중곡,,,담뱃불실화추정,0.01,0.0
F_000149,2006,11,3,16,0.5,37.56559802561971,127.0930124299868,서울특별시,광진,중곡,,,어린이불장난,0.03,0.0
F_000150,2007,4,19,12,0.15,37.56270358238905,127.09100402063041,서울특별시,광진,중곡,,산3-27,무속행위실화추정,0.03,0.0
F_000151,2002,3,22,14,0.23333333333333334,37.556886075116125,127.15889882805698,서울특별시,강동,고덕,,296,입산자실화추정,0.02,0.0
F_000152,2001,5,17,14,0.15,37.56981089877315,126.94691150541331,서울특별시,서대문,봉원,,산3-1,담뱃불실화추정,0.01,0.0
F_000153,2001,12,7,20,0.05,37.56981089877315,126.94691150541331,서울특별시,서대문,봉원,,산3-1,방화추정,0.01,0.0
F_000154,2002,11,12,15,0.18333333333333332,37.58004846359911,127.06424583788052,서울특별시,동대문,전농,,산32-20,담뱃불실화추정,0.01,0.0
F_000155,2002,11,13,1,0.6333333333333333,37.58004846359911,127.06424583788052,서울특별시,동대문,전농,,산32-20,어린이불장난추정,0.06,0.0
F_000156,2002,11,14,14,0.13333333333333333,37.58004846359911,127.06424583788052,서울특별시,동대문,전농,,산32-20,담뱃불실화추정,0.01,0.0
F_000157,2001,3,22,15,0.3,37.59007437166697,126.99323997994263,서울특별시,종로,명륜,,산2-8,담뱃불실화추정,0.07,0.0
F_000158,2003,3,26,14,0.31666666666666665,37.5880561371163,126.89018368901482,서울특별시,은평,수색,,산8-4,담배불실화,0.02,0.0
F_000159,2003,3,31,13,0.8666666666666667,37.587478283587444,126.89584759735877,서울특별시,은평,수색,,산19,담배불실화,0.1,0.0
F_000160,2004,4,8,16,0.23333333333333334,37.588361703703214,126.88921424264024,서울특별시,은평,수색,,산7-1,어린이불장난추정,0.02,0.0
F_000161,2001,5,7,0,0.3333333333333333,37.58570959299747,127.06549316978621,서울특별시,동대문,휘경,,산6-77,방화추정,0.02,0.0
F_000162,2008,3,15,18,0.08333333333333333,37.59215784627616,126.9820649457254,서울특별시,종로,삼청,,산2-1,입산자실화,0.01,0.0
F_000163,2007,4,4,16,0.8333333333333334,37.586249987881104,126.9387478708029,서울특별시,서대문,홍제,,산41-2,담뱃불실화추정,0.05,0.0
F_000164,2000,3,4,14,0.36666666666666664,37.60099697790983,126.96651777925115,서울특별시,종로,부암,,산11,어린이불장난,0.01,0.0
F_000165,2001,4,28,12,0.15,37.599533065358656,126.96764553661933,서울특별시,종로,부암,,산26,어린이불장난추정,0.01,0.0
F_000166,2008,11,22,17,0.6666666666666666,37.65201890546818,127.01988021693238,서울특별시,도봉,쌍문,,산278-4,입산자실화,0.09,0.0
F_000167,2000,3,26,15,0.6333333333333333,37.57692931595204,126.80320509904102,서울특별시,강서,개화,,산94-1,담뱃불실화,0.03,0.0
F_000168,2001,4,30,15,0.25,37.58283773544357,126.7997329686169,서울특별시,강서,개화,,산64,담뱃불실화추정,0.01,0.0
F_000169,2003,5,17,15,0.3333333333333333,37.604262261358144,127.08502976878734,서울특별시,중랑,중화1,,산9-1,담배불실화,0.01,0.0
F_000170,2001,3,26,11,0.16666666666666666,37.59735108530659,127.0866685359876,서울특별시,중랑,상봉,,산108-4,어린이불장난추정,0.01,0.0
F_000171,2000,2,24,13,0.5,37.62456107783601,126.96215986169904,서울특별시,종로,구기,,산3-1,입산자실화추정,0.04,0.0
F_000172,2000,3,24,9,4.5,37.60991932858494,126.96051512751372,서울특별시,종로,구기,,산3-20,입산자실화추정,0.09,0.0
F_000173,2006,11,25,23,1.6666666666666665,37.62456107783601,126.96215986169904,서울특별시,종로,구기,,산3-1,입산자실화,0.07,0.0
F_000174,2009,4,17,13,0.25,37.60991932858494,126.96051512751372,서울특별시,종로,구기,,산3-20,생활쓰레기소각,0.02,0.0
F_000175,2001,4,1,12,0.36666666666666664,37.63176310430233,127.02943268307506,서울특별시,강북,미아,,산13-1,어린이불장난추정,0.01,0.0
F_000176,2003,3,12,11,0.5833333333333334,37.61896848277213,127.0372574881574,서울특별시,강북,미아,,산35-1,입산자실화추정,0.01,0.0
F_000177,2007,2,12,15,0.25,37.63176310430233,127.02943268307506,서울특별시,강북,미아,,산13-1,입산자실화,0.02,0.0
F_000178,2000,4,12,12,1.05,37.61211899385089,126.99064037432615,서울특별시,성북,정릉,,산1-1,담뱃불실화추정,0.06,0.0
F_000179,2002,3,20,3,1.4166666666666667,37.61211899385089,126.99064037432615,서울특별시,성북,정릉,,산1-1,입산자실화추정,0.07,0.0
F_000180,2004,4,11,15,0.8333333333333334,37.61211899385089,126.99064037432615,서울특별시,성북,정릉,,산1-1,입산자실화,0.01,0.0
F_000181,2004,4,25,12,0.36666666666666664,37.61211899385089,126.99064037432615,서울특별시,성북,정릉,,산1-1,담뱃불실화추정,0.01,0.0
F_000182,2005,11,10,0,0.6833333333333333,37.61211899385089,126.99064037432615,서울특별시,성북,정릉,,산1-1,입산자실화,0.01,0.0
F_000183,2006,4,8,21,0.8666666666666667,37.61211899385089,126.99064037432615,서울특별시,성북,정릉,,산1-1,입산자실화,0.1,0.0
F_000184,2001,3,25,18,0.25,37.63217972686727,127.03285493022452,서울특별시,강북,번,,산17,어린이불장난추정,0.01,0.0
F_000185,2006,4,8,16,0.43333333333333335,37.456856117889764,127.05303233827364,서울특별시,서초,신원,,산1-3,쓰레기소각,0.01,0.0
F_000186,2000,3,29,15,0.7833333333333333,37.44279223616061,127.04467091312128,서울특별시,서초,원지,,산112,입산자실화추정,0.16,0.0
F_000187,2000,11,14,15,0.8833333333333333,37.44566454333479,127.03921537348467,서울특별시,서초,원지,,산4-5,담뱃불실화추정,0.03,0.0
F_000188,2005,4,4,11,0.65,37.4424921192233,127.05409041649575,서울특별시,서초,원지,,산33,입산자실화추정,0.1,0.0
F_000189,2010,4,4,10,0.6166666666666667,37.44797832178309,127.04983214675485,서울특별시,서초,원지,,산56-1,농산폐기물소각,0.02,0.0
F_000190,2000,3,13,17,0.6666666666666666,37.4505159318706,126.9249091222434,서울특별시,금천,시흥,,산93-1,입산자실화추정,0.16,5000.0
F_000191,2000,11,7,17,1.05,37.4552771638647,126.91716749411687,서울특별시,금천,시흥,,산108-1,어린이불장난추정,0.1,0.0
F_000192,2001,4,6,16,0.5833333333333334,37.44399372805316,126.91937285781204,서울특별시,금천,시흥,,산83-39,무속행위추정,0.01,0.0
F_000193,2001,4,22,19,0.5166666666666667,37.44519668177536,126.90509222245018,서울특별시,금천,시흥,,산27-3,입산자실화추정,0.01,0.0
F_000194,2001,4,27,20,0.5,37.44519668177536,126.90509222245018,서울특별시,금천,시흥,,산27-3,담뱃불실화추정,0.01,0.0
